epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,776.368,0.29465,0.96004,1,0.11351,0.000554909,0.000554909,0.000554909
2,1313.07,0.16513,0.97268,1,0.08453,0.000890681,0.000890681,0.000890681
3,1844.49,0.13176,0.97678,1,0.07196,0.00100641,0.00100641,0.00100641
4,2375.5,0.10709,0.97883,1,0.06582,0.000676802,0.000676802,0.000676802
5,2908.91,0.08267,0.9819,1,0.05606,0.000346736,0.000346736,0.000346736
